abs_line,line,dpz,cb,tlmj,td,tx,xy,ss,hjxc,sdjd,gd
0,2,5.25,5.17,1.45,3.17,1.0,4.43,2.07,3.75,0.0,17.25
1,2A,2.17,4.17,0.27,1.0,1.09,2.44,1.0,2.71,0.0,13.64
2,3,1.38,6.5,0.18,1.5,0.53,2.38,0.0,0.0,0.0,0.0
3,5,4.0,10.2,0.56,4.0,1.08,2.6,0.64,1.36,4.18,13.75
4,16,5.0,7.0,0.75,1.45,1.43,4.5,1.86,0.0,5.78,0.0
5,20,6.82,8.5,1.2,3.0,1.69,3.17,1.42,1.55,5.5,0.0
6,21,0.0,0.0,0.0,1.88,0.55,0.5,1.5,0.88,3.8,13.27
7,19,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
9,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.33
